"Participant","MIST_correct_Pretest_covid","MIST_dprime_Pretest_covid","MIST_criterion_Pretest_covid","MIST_aprime_Pretest_covid","MIST_bppd_Pretest_covid","MIST_correct_Pretest_general","MIST_dprime_Pretest_general","MIST_criterion_Pretest_general","MIST_aprime_Pretest_general","MIST_bppd_Pretest_general","MIST_correct_Posttest_general","MIST_dprime_Posttest_general","MIST_criterion_Posttest_general","MIST_aprime_Posttest_general","MIST_bppd_Posttest_general","MIST_correct_Posttest_covid","MIST_dprime_Posttest_covid","MIST_criterion_Posttest_covid","MIST_aprime_Posttest_covid","MIST_bppd_Posttest_covid","MIST_correct_Diff_covid","MIST_correct_Diff_general","MIST_dprime_Diff_covid","MIST_dprime_Diff_general","MIST_criterion_Diff_covid","MIST_criterion_Diff_general","MIST_aprime_Diff_covid","MIST_aprime_Diff_general","MIST_bppd_Diff_covid","MIST_bppd_Diff_general","MOCRI_correct_Pre","MOCRI_correct_Post","MOCRI_dprime_Pre","MOCRI_dprime_Post","MOCRI_criterion_Pre","MOCRI_criterion_Post","MOCRI_aprime_Pre","MOCRI_aprime_Post","MOCRI_bppd_Pre","MOCRI_bppd_Post","MOCRI_correct_Diff","MOCRI_dprime_Diff","MOCRI_criterion_Diff","MOCRI_bppd_Diff","Experiment_Duration","Date_OSF","Date","Time","Browser","Mobile","Platform","Screen_Width","Screen_Height","Gender","Education","Age","Ethnicity","Intervention_Duration","BFI_Duration","BFI10_1","BFI10_2","BFI10_3","BFI10_4","BFI10_5","BFI10_6","BFI10_7","BFI10_8","BFI10_9","BFI10_10","VSA_Duration","VSA_1","VSA_2","VSA_3","VSA_4","VSA_5","VSA_6","GCBS_Duration","GCBS15_8","GCBS15_2","GCBS15_3","GCBS15_6","GCBS15_11","GCBS15_1","GCBS15_5","GCBS15_13","GCBS15_15","GCBS15_12","GCBS15_9","GCBS15_7","GCBS15_14","GCBS15_4","GCBS15_10","Intervention_Questions_Confidence","Intervention_Questions_Score","Intervention","Intervention_Questions_Duration","Intervention_Questions_Favorite","Intervention_Questions_Repeat","Intervention_Questions_Recommend","Consent_Duration","Waitdatasaving_Duration","MIST_Duration_Pre","MIST_Duration_Post","Political_LiberalConservative","Political_Affiliation","VSA_Conservatism","VSA_Traditionalism","VSA_Authoritarianism","VSA_General","BFI_Agreeableness","BFI_Extraversion","BFI_Conscientiousness","BFI_Neuroticism","BFI_Openness","GCBS_GovernmentMalfeasance","GCBS_Extraterrestrial","GCBS_Malevolent","GCBS_Wellbeing","GCBS_Control","GCBS_General"
"ntx88c43pw",0.5,0,-0.210428394247925,0.5,0,0.6,1.37020688435874,1.14881119363655,0.798581463236636,0.967857142857143,0.709677419354839,2.05676000984558,0.834351862498862,0.877277191894127,0.915730337078652,0.7,0.884918144444006,-0.232030677974079,0.753968253968254,-0.363636363636364,0.2,0.109677419354839,0.884918144444006,0.686553125486842,-0.0216022837261537,-0.314459331137684,0.253968253968254,0.0786957286574916,-0.363636363636364,-0.0521268057784913,0.0833333333333333,0,-0.791638607743375,-2.93046758537104,0.395819303871687,0,0.733766233766234,0.961538461538462,0.571428571428571,-2.0923433925628e-16,-0.0833333333333333,-2.13882897762767,-0.395819303871687,-0.571428571428572,44.5490166666667,"2024-11-04 17:57:40.102303+00:00","04/11/2024","11:13:03","chrome","False","Windows 10",1920,953,"Man","Other",36,"Hispanic",21.7216666666667,0.747983333333333,4,3,3,2,3,0,2,3,4,4,0.993066666666667,2,2,0,6,4,4,2.88358333333333,0,1,0,0,2,1,2,0,2,1,0,1,0,0,1,"No impact","32315","Tetris",0.91105,"Simple gameplay","No","No",0.512016666666667,0.130383333333333,5.91449333333373,4.42489166666667,1,"Other",4,1,4,3,3.5,1,3,4,3.5,1,0,1,0,1.66666666666667,0.733333333333333
"cc9x6sbyz1",0.6,0.464061355948157,0.442459072222003,0.655555555555556,0.615384615384615,0.566666666666667,0.430858006994026,0.794561165752569,0.648148148148148,0.864864864864865,0.387096774193548,-0.607740103927857,0.706120117285654,0.691919191919192,0.823151125401929,0.5,0,0.210428394247925,0.5,0,-0.1,-0.179569892473118,-0.464061355948157,-1.03859811092188,-0.232030677974079,-0.0884410484669154,-0.155555555555556,0.0437710437710438,-0.615384615384615,-0.0417137394629357,0.333333333333333,0.416666666666667,0.36610635680057,0,-0.183053178400285,-0.791638607743375,0.626984126984127,0.5,-0.285714285714286,0,0.0833333333333334,-0.36610635680057,-0.60858542934309,0.285714285714286,40.3504833333333,"2024-11-04 16:52:58.093680+00:00","04/11/2024","16:12:30","chrome","False","Windows 10",622,672,"Woman","Bachelor",24,"black american",9.86903333333333,1.63225,3,3,0,4,0,4,0,4,0,4,1.07241666666667,0,6,7,1,3,5,4.12023333333333,1,3,3,3,3,1,3,3,3,3,1,3,3,3,3,"No impact","1000","Tetris",0.981916666666667,"the sound","yes","yes",1.82006666666667,0.152133333333333,12.9721133333365,2.37774499999682,6,"Democrat",7,7,5,6.33333333333333,4.5,3.5,5,1,5,2.33333333333333,2.33333333333333,3,2.33333333333333,3,2.6
"k320cnq7w9",0.5,0,-0.210428394247925,0.5,0,0.566666666666667,0.341930052926768,-0.408167135792172,0.620401337792642,-0.577617328519856,0.483870967741935,-0.0556018656907697,0.43005099816711,0.522178708439898,0.599337748344371,0.9,2.05748387729672,-0.354252188452278,0.904040404040404,-0.571428571428571,0.4,-0.0827956989247312,2.05748387729672,-0.397531918617538,-0.143823794204353,0.838218133959282,0.404040404040404,-0.0982226293527445,-0.571428571428571,1.17695507686423,0.333333333333333,0.25,-0.425532250942805,-0.791638607743375,-0.578872482271972,-0.395819303871687,0.645454545454545,0.733766233766234,-0.736842105263158,-0.571428571428571,-0.0833333333333333,-0.36610635680057,0.183053178400285,0.165413533834586,8.00251666666667,"2024-11-04 16:30:06.147985+00:00","04/11/2024","11:22:02","chrome","False","Windows 10",1920,945,"Man","High School",21,"Hispanic",0.898883333333333,0.3001,3,3,1,3,3,2,3,3,3,3,0.44665,5,5,1,6,1,7,0.9289,4,3,3,3,3,4,3,2,3,3,3,2,1,3,4,"No impact","76","BadNews",0.345566666666667,"Choice of prompts","No","No",0.0403833333333333,0.0485,1.456925,1.37887166666786,5,"Democrat",4,1.5,7,4.16666666666667,3,2.5,4,3,3,3.33333333333333,3,2.66666666666667,2.33333333333333,3.33333333333333,2.93333333333333
"f6w3h4a9sf",0.4,0,1.2815515655446,0.5,0,0.466666666666667,-0.0364593317589359,1.29978123142407,0.517349137931035,0.977272727272727,0.451612903225806,0.766309701245401,1.41958824011649,0.72010582010582,0.987012987012987,0.2,-0.962912201580226,0.800095464754488,0.759722222222222,0.875,-0.2,-0.0150537634408602,-0.962912201580226,0.802769033004337,-0.481456100790113,0.119807008692421,0.259722222222222,0.202756682174786,0.875,0.00974025974025983,0,0,0,-0.673595184942148,1.46523379268552,1.12843620021445,0.5,0.705128205128205,0,0.958904109589041,0,-0.673595184942148,-0.336797592471074,0.958904109589041,35.8101,"2024-11-04 16:23:27.259079+00:00","04/11/2024","09:47:35","chrome","False","Windows 10",2560,1277,"Man","High School",52,"White",19.68755,0.887433333333333,0,0,0,2,0,2,4,4,0,4,1.34995,4,4,4,4,4,4,2.65031666666667,0,2,0,4,2,2,2,0,2,2,1,2,0,2,0,"No impact","13000","Tetris",0.45795,"nothing really","no","yes",0.28705,0.0448666666666667,3.48540666666677,2.8932699999998,3,"Republican",4,4,4,4,1,4,5,2,5,2.66666666666667,0,2,1,1.33333333333333,1.4
"464kbygen5",0.7,1.17256573285271,-0.796711260674281,0.790909090909091,-0.878048780487805,0.733333333333333,1.30082227385597,0.126010624219943,0.825875,0.209677419354839,0.838709677419355,2.32058379843415,0.702439968204578,0.904959625855952,0.873626373626374,0.5,0,-0.674489750196082,0.5,0,-0.2,0.105376344086022,-1.17256573285271,1.01976152457818,0.1222215104782,0.576429343984635,-0.290909090909091,0.0790846258559526,0.878048780487805,0.663948954271535,0,0,-2.2568724004289,-2.93046758537104,0.336797592471074,0,0.91958041958042,0.961538461538462,0.56,-2.0923433925628e-16,0,-0.673595184942148,-0.336797592471074,-0.56,29.2429666666667,"2024-11-04 16:04:51.575065+00:00","04/11/2024","07:35:33","edge-chromium","False","Windows 10",1912,920,"Man","Master",43,"Multiracial",13.1381,0.484016666666667,4,2,0,0,4,0,3,4,4,1,0.535466666666667,5,1,0,8,8,0,1.24035,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,"Slightly improved","18.513","BadNews",0.510583333333333,"The conversational style","Yes","Yes",0.0705166666666667,0.05245,2.76643499999841,2.23900999999841,3,"Republican",2,0,0,0.666666666666667,2.5,1,5,5,1.5,1,0,0,0,0.333333333333333,0.266666666666667
"ruw76lyn49",0.5,0,1.38299412710064,0.5,0,0.466666666666667,-0.544720970118114,1.59037138236259,0.682795698924731,0.993348115299335,0.483870967741935,-0.0267780929117791,1.87612091387754,0.515179367201426,0.998046875,0.5,0,1.38299412710064,0.5,0,0,0.0172043010752688,0,0.517942877206335,0,0.285749531514947,0,-0.167616331723305,0,0.00469875970066502,0.416666666666667,0.5,0,0,-0.791638607743375,-1.46523379268552,0.5,0.5,0,0,0.0833333333333333,0,-0.673595184942148,0,73.1086833333333,"2024-11-04 15:54:01.126563+00:00","04/11/2024","08:40:45","chrome","False","Windows 10",1280,665,"Man","Master",36,"hispanic",22.9946333333333,0.284766666666667,3,3,1,3,2,3,3,2,2,2,12.1485166666667,6,7,6,6,5,5,0.440383333333333,2,3,3,3,2,3,3,3,2,2,3,3,3,3,2,"Improved","3000","Tetris",1.35585,"colors","yes","yes",31.01565,0.0999666666666667,1.00743166666627,1.0352449999998,6,"Democrat",4.5,4,4,4.16666666666667,3,3,3.5,2.5,3,2.66666666666667,2.66666666666667,2.66666666666667,3,2.33333333333333,2.66666666666667
"vqzpa3nr5a",0.8,1.59342252134856,-0.586282866426357,0.850649350649351,-0.774193548387097,0.666666666666667,0.816334271584344,-0.170965026463384,0.740274599542334,-0.272340425531915,0.806451612903226,2.16203877788732,0.781712478477992,0.888679463720972,0.900943396226415,0.6,0.708504376904556,-1.02874193864836,0.712121212121212,-0.941176470588235,-0.2,0.139784946236559,-0.884918144444007,1.34570450630297,-0.442459072222003,0.952677504941376,-0.138528138528139,0.148404864178638,-0.166982922201138,1.17328382175833,0,0.166666666666667,-1.09912743588495,-0.732212713601139,0.915670074743046,0,0.776923076923077,0.722222222222222,0.918032786885246,-1.81336427355442e-16,0.166666666666667,0.366914722283813,-0.915670074743046,-0.918032786885246,29.7988,"2024-11-04 15:45:03.572080+00:00","04/11/2024","10:15:11","opera","False","Windows 10",1482,672,"Woman","High School",23,"Latino",14.4528333333333,0.466283333333333,3,3,3,1,3,2,2,2,4,4,0.545983333333333,7,1,0,8,4,1,2.52735,1,0,0,3,3,4,1,0,4,2,1,1,3,0,3,"No impact","69000","Tetris",0.298416666666667,"The music was cool","yes","No",0.0625666666666667,0.0369166666666667,3.7688199999998,3.86116333333353,0,"Other",1,0,2.5,1.16666666666667,3.5,2.5,2.5,4.5,3.5,3.33333333333333,0.333333333333333,1,1.33333333333333,2.66666666666667,1.73333333333333
"uc0u68m518",0.6,0.708504376904556,-1.02874193864836,0.712121212121212,-0.941176470588235,0.733333333333333,1.39642331003665,0.619799242285212,0.82657200811359,0.790123456790123,0.774193548387097,1.46784210026208,0.276069119118543,0.846394868333807,0.441747572815534,0.7,1.19889026290412,0.0750446187440205,0.810714285714286,0.125,0.1,0.0408602150537635,0.490385885999566,0.0714187902254282,1.10378655739238,-0.343730123166669,0.0985930735930737,0.0198228602202166,1.06617647058824,-0.34837588397459,0,0,-1.83134014948609,-1.46523379268552,0.549563717942476,0.732616896342761,0.876068376068376,0.82967032967033,0.756756756756757,0.857142857142857,0,0.36610635680057,0.183053178400285,0.1003861003861,33.6830833333333,"2024-11-04 15:44:53.854754+00:00","04/11/2024","10:11:09","firefox","False","Windows 10",1370,1738,"Woman","High School",37,"Black",15.9926,0.773816666666667,4,1,3,0,1,0,4,3,4,4,0.72695,5,3,0,7,7,1,1.68238333333333,3,0,1,1,3,3,0,1,3,0,0,0,0,0,1,"No impact","23975","Tetris",0.80725,"The level ups","yes","yes",0.3649,0.113233333333333,5.22176666666667,4.01398333333333,0,"Other",3,0.5,1,1.5,1.5,1,3,5,4.5,2.33333333333333,1.66666666666667,0,0,1.33333333333333,1.06666666666667
"5hssxw7rtk",0.5,0,-0.210428394247925,0.5,0,0.8,1.72026096262526,0.457880415990906,0.869458128078818,0.670157068062827,0.612903225806452,0.889009153368589,0.522916989417407,0.751736111111111,0.7,0.6,0.464061355948157,-0.442459072222003,0.655555555555555,-0.615384615384616,0.1,-0.187096774193548,0.464061355948157,-0.831251809256673,-0.232030677974078,0.0650365734265011,0.155555555555555,-0.117722016967707,-0.615384615384616,0.0298429319371728,0.0833333333333333,0.166666666666667,-1.15774496454394,-1.15774496454394,0.212766125471402,-0.212766125471402,0.803030303030303,0.803030303030303,0.341463414634146,-0.341463414634146,0.0833333333333333,0,-0.425532250942805,-0.682926829268293,66.52955,"2024-11-04 15:42:20.372923+00:00","04/11/2024","14:33:09","chrome","False","Windows 10",1536,730,"Man","Bachelor",25,"Black",12.4299,1.15163333333333,0,4,0,4,4,4,0,4,0,4,2.92713333333333,0,4,8,0,2,6,7.60838333333333,0,2,0,0,1,3,0,0,3,2,0,4,1,1,1,"No impact","5000","Tetris",1.11271666666667,"Game lay out","yes","yes",0.39385,0.0927333333333333,18.3498166666667,8.34565833333333,5,"Democrat",6,8,6,6.66666666666667,5,5,5,1,3,1.33333333333333,0,2.66666666666667,0.666666666666667,1.33333333333333,1.2
"mlcxwn1kwp",0.6,0.464061355948157,-0.442459072222003,0.655555555555555,-0.615384615384616,0.666666666666667,0.93157775651647,-0.544201290991347,0.759259259259259,-0.719101123595506,0.451612903225806,-0.318569830135433,-0.617136846080211,0.614495320855615,-0.763803680981595,0.5,0.150089237488041,-0.599445131452061,0.558333333333333,-0.75,-0.1,-0.21505376344086,-0.313972118460116,-1.2501475866519,-0.156986059230058,-0.0729355550888642,-0.0972222222222221,-0.144763938403644,-0.134615384615384,-0.0447025573860894,0.0833333333333333,0.166666666666667,-0.425532250942805,-0.732212713601139,0.578872482271972,0,0.645454545454546,0.722222222222222,0.736842105263158,-1.81336427355442e-16,0.0833333333333333,-0.306680462658334,-0.578872482271972,-0.736842105263158,32.9107166666667,"2024-11-04 15:40:52.167831+00:00","04/11/2024","07:07:55","chrome","False","Windows 10",500,876,"Man","Bachelor",65,"asian",13.0360166666667,1.3894,4,4,2,4,3,1,1,3,1,4,0.590216666666667,0,6,1,6,1,8,1.71475,4,4,4,3,4,4,4,2,4,4,3,4,4,2,4,"Improved","1650","Tetris",0.643316666666667,"speed of the tiles","yes","no",0.177233333333333,0.0507,4.75397333333334,5.41880166666666,5,"Democrat",7,1.5,7.5,5.33333333333333,4.5,1.5,3.5,1.5,3.5,3.66666666666667,3.33333333333333,4,3,4,3.6
